Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
IT;Turkey;Level 2-4;1;0.4;0.54;3;183;4;0;0;0;medium;F;18
Warehouse;France;Level 2-4;0;0.4;0.54;4;155;4;0;0;0;high;M;15
Operations;China;Level 2-4;0;0.4;0.54;3;247;3;0;0;0;medium;F;16
Sales;UK;Level 2-4;1;0.4;0.54;3;246;3;0;0;0;medium;F;43
Finance;US;Level 2-4;1;0.4;0.54;4;102;3;0;0;0;low;M;27
Human Resources;France;Level 2-4;0;0.4;0.54;5;161;3;1;0;0;high;M;5
IT;Turkey;Level 2-4;1;0.4;0.54;4;239;2;0;0;0;medium;F;21
Warehouse;Japan;Level 2-4;0;0.4;0.54;6;190;4;0;0;0;low;F;41
Operations;Australia;Level 2-4;0;0.4;0.54;4;212;4;0;0;0;medium;M;12
Sales;Turkey;Level 2-4;0;0.4;0.54;3;190;3;0;0;0;low;M;6
Finance;Japan;Level 2-4;1;0.4;0.54;3;128;3;0;0;0;medium;F;55
Human Resources;US;Level 2-4;1;0.4;0.54;4;142;4;0;0;0;medium;F;35
IT;Turkey;Level 2-4;1;0.4;0.54;2;177;3;0;0;0;low;M;37
Warehouse;UK;Level 2-4;1;0.4;0.54;4;210;3;0;0;0;low;M;4
Operations;Australia;Level 2-4;0;0.4;0.54;2;184;2;0;0;0;low;M;35
Sales;Australia;Level 1;0;0.4;0.54;6;181;4;0;0;0;low;F;25
Finance;UK;Level 1;1;0.4;0.54;5;191;2;0;0;0;low;M;50
Human Resources;US;Level 1;0;0.4;0.54;5;203;2;0;0;0;medium;F;19
IT;Colombia;Level 1;1;0.4;0.54;4;147;4;0;0;0;low;F;7
Warehouse;US;Level 1;1;0.4;0.54;3;215;4;1;0;0;low;M;6
Operations;US;Level 1;1;0.4;0.54;5;252;2;0;0;0;low;F;30
Sales;Colombia;Level 1;1;0.4;0.54;4;235;4;0;0;0;medium;M;4
Finance;Colombia;Level 1;1;0.4;0.54;5;206;5;0;0;0;medium;M;53
Human Resources;Turkey;Level 1;1;0.4;0.54;6;169;4;0;0;0;low;F;46
IT;Japan;Level 1;0;0.4;0.54;4;145;5;0;0;0;low;F;14
Warehouse;US;Level 1;0;0.4;0.54;3;161;3;0;0;0;medium;M;29
Operations;US;Level 1;1;0.4;0.54;3;245;3;0;0;0;low;F;51
Sales;Australia;Level 1;0;0.4;0.54;3;233;2;0;0;0;low;F;60
Finance;Australia;Level 1;0;0.4;0.54;6;209;5;1;0;0;low;M;4
Human Resources;Korea;Level 1;1;0.4;0.54;4;219;2;0;0;0;medium;F;57
IT;Japan;Level 1;0;0.4;0.54;4;178;2;0;0;0;medium;M;65
Warehouse;US;Level 1;0;0.4;0.54;5;263;3;0;0;0;low;M;22
Operations;Colombia;Level 1;0;0.4;0.54;4;182;6;0;0;0;medium;F;51
Sales;Korea;Level 1;0;0.4;0.54;4;188;6;0;0;0;low;F;41
Finance;China;Level 1;0;0.4;0.54;4;139;3;1;0;0;low;F;64
Human Resources;Japan;Level 1;0;0.4;0.54;4;167;3;0;0;0;medium;M;65
IT;Australia;Level 1;1;0.4;0.54;4;215;4;0;0;0;medium;M;58
Warehouse;UK;Level 1;0;0.4;0.54;3;154;8;1;0;0;medium;F;20
Operations;Australia;Level 1;1;0.4;0.54;4;147;10;0;0;0;low;M;28
Sales;Korea;Level 1;0;0.4;0.54;4;172;4;0;0;0;medium;F;24
Finance;Colombia;Level 1;0;0.4;0.54;4;146;4;0;0;1;medium;F;6
Human Resources;Colombia;Level 1;0;0.4;0.54;4;176;2;0;0;0;medium;M;3
IT;Turkey;Level 1;0;0.4;0.54;3;194;2;1;0;0;low;F;48
Warehouse;Colombia;Level 1;0;0.4;0.54;3;164;7;0;0;0;medium;M;48
Operations;Colombia;Level 1;0;0.4;0.54;3;185;10;0;0;1;high;M;58
Sales;Australia;VP;0;0.4;0.54;2;135;3;0;1;0;low;M;37
Finance;Japan;Senior Director;1;0.4;0.54;2;143;3;0;1;0;low;M;11
Human Resources;US;Senior Director;0;0.4;0.54;2;152;3;0;1;0;low;F;65
IT;US;Senior Director;0;0.4;0.54;2;148;3;0;1;0;low;F;31
Warehouse;Colombia;Director;0;0.4;0.54;2;132;3;0;1;0;low;F;57
Operations;Australia;Director;1;0.4;0.54;2;128;3;0;1;0;low;M;40
Sales;Australia;Director;0;0.4;0.54;2;153;3;0;1;0;medium;F;34
Finance;Australia;Director;0;0.4;0.54;2;137;3;0;1;0;medium;M;39
Human Resources;Colombia;Director;0;0.4;0.54;2;140;3;0;1;0;low;F;24
IT;Australia;Director;0;0.4;0.54;5;132;5;0;1;0;low;F;38
Warehouse;US;Senior Manager;0;0.4;0.54;7;278;3;0;1;0;low;F;47
Operations;China;Senior Manager;0;0.4;0.54;2;149;3;0;1;0;low;M;29
Sales;UK;Senior Manager;0;0.4;0.54;2;156;3;0;1;0;medium;F;19
Finance;US;Senior Manager;0;0.4;0.54;2;139;3;0;1;0;low;F;20
Human Resources;US;Senior Manager;0;0.4;0.54;2;153;3;1;1;0;low;F;26
IT;Colombia;Senior Manager;0;0.4;0.54;2;149;3;0;1;0;low;F;24
Warehouse;France;Senior Manager;1;0.4;0.54;2;145;3;0;1;0;low;F;43
Operations;Turkey;Senior Manager;1;0.4;0.54;2;142;3;0;1;0;medium;F;36
Sales;US;Senior Manager;1;0.4;0.54;2;127;3;0;1;0;low;M;46
Finance;Japan;Senior Manager;0;0.4;0.54;2;145;3;0;1;0;medium;F;12
Human Resources;Turkey;Senior Manager;0;0.4;0.54;2;152;3;0;1;0;medium;M;52
IT;Japan;Senior Manager;0;0.4;0.54;2;143;3;1;1;0;low;M;12
Warehouse;Korea;Manager;1;0.4;0.54;2;158;3;0;1;0;low;M;10
Operations;Korea;Manager;0;0.4;0.54;2;151;3;0;1;0;low;M;45
Sales;France;Manager;0;0.4;0.54;2;131;3;1;1;0;medium;F;4
Finance;Colombia;Manager;1;0.4;0.54;2;129;3;0;1;0;high;F;33
Human Resources;Colombia;Manager;0;0.4;0.54;2;155;3;0;1;0;low;M;20
IT;Korea;Manager;1;0.4;0.54;2;132;3;0;1;0;low;F;7
Warehouse;Colombia;Manager;0;0.4;0.54;2;144;3;0;1;0;low;M;57
Operations;Turkey;Manager;1;0.4;0.54;2;141;3;0;1;0;medium;M;56
Sales;France;Manager;1;0.4;0.54;2;129;3;0;1;0;medium;M;55
Finance;Turkey;Manager;0;0.4;0.54;2;143;3;0;1;0;medium;F;55
Human Resources;Turkey;Manager;0;0.4;0.54;5;216;3;0;1;0;low;M;29
IT;Korea;Manager;0;0.4;0.54;2;152;3;0;1;0;low;F;55
Warehouse;Turkey;Manager;1;0.4;0.54;2;135;3;0;1;0;medium;M;60
Operations;Korea;Manager;1;0.4;0.54;5;153;4;0;1;0;low;F;60
Sales;China;Manager;1;0.4;0.54;2;127;3;0;1;0;low;M;33
Finance;China;Manager;1;0.4;0.54;2;127;3;0;1;0;medium;F;15
Human Resources;Australia;Manager;0;0.4;0.54;2;159;3;0;1;0;medium;M;19
IT;Australia;Manager;1;0.4;0.54;4;235;4;0;0;0;medium;M;26
Warehouse;France;Manager;0;0.4;0.54;5;206;5;0;0;0;medium;M;43
Operations;France;Manager;1;0.4;0.54;6;169;4;0;0;0;low;M;43
Sales;Japan;Manager;0;0.4;0.54;4;145;5;0;0;0;low;F;12
Finance;Colombia;Manager;1;0.4;0.54;3;161;3;0;0;0;medium;M;20
Human Resources;Colombia;Level 2-4;1;0.4;0.54;3;245;3;0;0;0;low;M;31
IT;China;Level 2-4;0;0.4;0.54;3;233;2;0;0;0;low;M;50
Warehouse;Korea;Level 2-4;1;0.4;0.54;6;209;5;1;0;0;low;M;14
Operations;Colombia;Level 2-4;0;0.4;0.54;4;219;2;0;0;0;medium;M;6
Sales;Korea;Level 2-4;1;0.4;0.54;4;178;2;0;0;0;medium;M;6
Finance;Korea;Level 2-4;0;0.4;0.54;5;263;3;0;0;0;low;F;53
Human Resources;Korea;Level 2-4;0;0.4;0.54;4;182;6;0;0;0;medium;F;34
IT;Korea;Level 2-4;0;0.4;0.54;4;188;6;0;0;0;low;F;2
Warehouse;Colombia;Level 2-4;0;0.4;0.54;4;139;3;1;0;0;low;M;10
Operations;Colombia;Level 2-4;0;0.4;0.54;4;167;3;0;0;0;medium;M;52
Sales;Colombia;Level 2-4;1;0.4;0.54;4;215;4;0;0;0;medium;M;35
Finance;US;Level 2-4;0;0.4;0.54;3;154;8;1;0;0;medium;M;46
Human Resources;US;Level 2-4;1;0.4;0.54;4;147;10;0;0;0;low;M;41
IT;Australia;Level 2-4;1;0.4;0.54;4;172;4;0;0;0;medium;M;20
Warehouse;France;Level 2-4;0;0.4;0.54;4;146;4;0;0;1;medium;M;25
Operations;UK;Level 2-4;1;0.4;0.54;4;176;2;0;0;0;medium;F;9
Sales;Turkey;Level 2-4;1;0.4;0.54;3;194;2;1;0;0;low;M;51
Finance;China;Level 2-4;1;0.4;0.54;3;164;7;0;0;0;medium;F;18
Human Resources;Australia;Level 2-4;1;0.4;0.54;3;185;10;0;0;1;high;M;61
IT;US;Level 2-4;0;0.4;0.54;2;135;3;0;1;0;low;F;27
Warehouse;Korea;Level 2-4;1;0.4;0.54;2;143;3;0;1;0;low;M;32
Operations;US;Level 2-4;0;0.4;0.54;2;152;3;0;1;0;low;M;24
Sales;US;Level 2-4;1;0.4;0.54;2;148;3;0;1;0;low;M;25
Finance;China;Level 2-4;1;0.4;0.54;2;132;3;0;1;0;low;M;30
Human Resources;China;Level 2-4;1;0.4;0.54;2;128;3;0;1;0;low;M;10
IT;Colombia;Level 2-4;0;0.4;0.54;2;153;3;0;1;0;medium;F;56
Warehouse;France;Level 2-4;0;0.4;0.54;2;137;3;0;1;0;medium;M;17
Operations;UK;Level 2-4;0;0.4;0.54;2;140;3;0;1;0;low;F;8
Sales;Turkey;Level 2-4;1;0.4;0.54;5;132;5;0;1;0;low;M;25
Finance;Japan;Level 2-4;1;0.4;0.54;7;278;3;0;1;0;low;M;44
Human Resources;China;Level 2-4;0;0.4;0.54;2;149;3;0;1;0;low;F;15
IT;UK;Level 2-4;0;0.4;0.54;2;156;3;0;1;0;medium;F;31
Warehouse;China;Level 2-4;0;0.4;0.54;2;139;3;0;1;0;low;F;41
Operations;Turkey;Level 2-4;1;0.4;0.54;2;153;3;1;1;0;low;F;62
Sales;Korea;Level 2-4;0;0.4;0.54;2;149;3;0;1;0;low;F;29
Finance;UK;Level 2-4;1;0.4;0.54;2;145;3;0;1;0;low;M;41
Human Resources;Colombia;Level 2-4;1;0.4;0.54;2;142;3;0;1;0;medium;F;3
IT;France;Level 2-4;0;0.4;0.54;2;127;3;0;1;0;low;M;55
Warehouse;Japan;Level 2-4;1;0.4;0.54;2;145;3;0;1;0;medium;M;18
Operations;US;Level 2-4;1;0.4;0.54;2;152;3;0;1;0;medium;F;8
Sales;France;Level 2-4;1;0.4;0.54;2;143;3;1;1;0;low;F;36
Finance;Korea;Level 2-4;0;0.4;0.54;2;158;3;0;1;0;low;F;3
Human Resources;US;Level 2-4;1;0.4;0.54;2;151;3;0;1;0;low;F;12
IT;China;Level 2-4;1;0.4;0.54;2;131;3;1;1;0;medium;M;59
Warehouse;France;Level 2-4;1;0.4;0.54;2;129;3;0;1;0;high;F;58
Operations;Japan;Level 2-4;0;0.4;0.54;2;155;3;0;1;0;low;F;7
Sales;Colombia;Level 2-4;0;0.4;0.54;2;132;3;0;1;0;low;M;10
Finance;Korea;Level 2-4;1;0.4;0.54;2;144;3;0;1;0;low;M;16
Human Resources;UK;Level 2-4;1;0.4;0.54;2;141;3;0;1;0;medium;F;20
IT;Korea;Level 2-4;0;0.4;0.54;2;129;3;0;1;0;medium;F;4
Warehouse;US;Level 2-4;1;0.4;0.54;2;142;3;0;1;0;low;M;39
Operations;UK;Level 2-4;0;0.4;0.54;2;157;3;0;1;0;low;F;61
Sales;Japan;Level 2-4;0;0.4;0.54;2;154;3;0;1;0;low;M;19
Finance;China;Level 2-4;1;0.4;0.54;2;153;3;0;1;0;medium;M;51
Human Resources;Colombia;Level 2-4;0;0.4;0.55;2;148;3;0;1;0;low;M;54
IT;France;Level 2-4;0;0.4;0.55;2;147;3;0;1;0;low;F;22
Warehouse;Turkey;Level 2-4;1;0.4;0.55;2;140;3;0;1;0;low;F;23
Operations;China;Level 2-4;0;0.4;0.55;2;147;3;0;1;0;low;F;35
Sales;UK;Level 2-4;1;0.4;0.55;2;135;3;0;1;0;low;F;21
Finance;Japan;Level 2-4;1;0.4;0.55;2;134;3;0;1;0;low;F;28
Human Resources;US;Level 2-4;0;0.4;0.55;2;129;3;0;1;0;low;F;24
IT;France;Level 2-4;0;0.4;0.55;2;129;3;0;1;0;low;M;22
Warehouse;US;Level 2-4;0;0.4;0.55;2;141;3;0;1;0;medium;F;23
Operations;Korea;Level 1;1;0.4;0.55;2;152;3;0;1;0;medium;F;55
Sales;France;Level 1;1;0.4;0.55;2;156;3;0;1;0;medium;M;28
Finance;Turkey;Level 1;1;0.4;0.55;2;151;3;0;1;0;medium;M;20
Human Resources;UK;Level 1;0;0.4;0.55;2;127;3;0;1;0;medium;F;54
IT;Korea;Level 1;1;0.4;0.55;2;154;3;0;1;0;low;M;4
Warehouse;Korea;Level 1;1;0.4;0.55;2;148;3;0;1;0;low;M;59
Operations;Colombia;Level 1;1;0.4;0.55;2;158;3;0;1;0;low;M;10
Sales;US;Level 1;0;0.4;0.55;2;136;3;0;1;0;low;F;6
Finance;Colombia;Level 1;0;0.4;0.55;2;159;3;0;1;0;high;M;59
Human Resources;Japan;Level 1;0;0.4;0.55;2;148;3;0;1;0;low;M;50
IT;Turkey;Level 1;0;0.4;0.55;2;247;4;0;1;0;medium;F;42
Warehouse;UK;Level 1;1;0.4;0.55;2;130;3;0;1;0;high;M;54
Operations;Korea;Level 1;0;0.4;0.55;2;159;3;0;1;0;low;F;39
Sales;Korea;Level 1;0;0.4;0.55;2;151;3;0;1;0;low;F;14
Finance;France;Level 1;0;0.4;0.55;2;151;3;0;1;0;low;F;42
Human Resources;Colombia;Level 1;0;0.4;0.55;2;153;3;0;1;0;medium;F;23
IT;UK;Level 1;1;0.4;0.55;6;139;4;0;1;0;high;M;42
Warehouse;Colombia;Level 1;1;0.4;0.55;2;146;3;0;1;0;low;F;27
Operations;UK;Level 1;0;0.4;0.55;2;152;3;0;1;0;low;M;48
Sales;France;Level 1;0;0.4;0.55;2;145;3;0;1;0;low;F;22
Finance;US;Level 1;0;0.4;0.55;2;130;3;1;1;0;low;M;9
Human Resources;China;Level 1;1;0.4;0.55;2;137;3;1;1;0;low;F;43
IT;France;Level 1;0;0.4;0.55;2;155;3;0;1;0;low;F;33
Warehouse;France;Level 1;1;0.4;0.55;2;152;3;1;1;0;medium;M;45
Operations;Japan;Level 1;1;0.4;0.55;2;159;3;0;1;0;medium;F;23
Sales;Korea;Level 1;1;0.4;0.55;2;136;3;0;1;0;medium;F;4
Finance;Australia;Level 1;0;0.4;0.55;2;134;3;0;1;0;low;M;14
Human Resources;France;Level 1;0;0.4;0.55;2;148;3;0;1;0;low;M;1
IT;US;Level 1;1;0.4;0.55;2;134;3;0;1;0;low;F;16
Warehouse;Turkey;Level 1;0;0.4;0.55;2;129;3;0;1;0;medium;F;60
Operations;Turkey;VP;0;0.4;0.55;2;150;3;0;1;0;medium;M;55
Sales;China;Senior Director;0;0.4;0.55;2;137;3;0;1;0;low;M;63
Finance;Korea;Senior Director;1;0.4;0.55;2;131;3;0;1;0;low;F;29
Human Resources;Korea;Senior Director;1;0.4;0.55;2;156;3;0;1;0;high;F;61
IT;UK;Director;0;0.4;0.55;2;138;3;0;1;0;medium;F;58
Warehouse;Japan;Director;0;0.4;0.55;2;155;3;0;1;0;low;F;57
Operations;France;Director;0;0.4;0.55;2;130;3;0;1;0;low;F;10
Sales;Turkey;Director;0;0.4;0.55;2;160;3;0;1;0;low;M;52
Finance;Japan;Director;1;0.4;0.55;2;131;3;0;1;0;medium;M;1
Human Resources;Japan;Director;1;0.4;0.55;2;131;3;0;1;0;low;M;23
IT;Turkey;Senior Manager;0;0.4;0.55;6;250;5;0;1;0;medium;M;32
Warehouse;Korea;Senior Manager;1;0.4;0.55;2;159;3;0;1;0;medium;M;11
Operations;Turkey;Senior Manager;1;0.4;0.55;4;134;3;0;1;0;low;F;22
Sales;Colombia;Senior Manager;0;0.4;0.55;2;146;3;0;1;0;low;F;49
Finance;Korea;Senior Manager;0;0.4;0.55;2;150;3;0;1;0;low;M;35
Human Resources;US;Senior Manager;0;0.4;0.55;6;175;5;0;1;0;medium;F;21
IT;Colombia;Senior Manager;1;0.4;0.55;2;128;3;0;1;1;medium;F;53
Warehouse;Korea;Senior Manager;1;0.4;0.55;2;159;3;0;1;0;low;M;13
Operations;France;Senior Manager;0;0.4;0.55;2;141;3;0;1;0;low;M;61
Sales;Korea;Senior Manager;1;0.4;0.55;2;140;3;0;1;0;low;F;18
Finance;Japan;Senior Manager;0;0.4;0.55;2;156;3;0;1;0;medium;F;22
Human Resources;China;Senior Manager;0;0.4;0.55;2;147;3;0;1;0;medium;F;4
IT;Colombia;Manager;0;0.4;0.55;2;145;3;0;1;0;low;M;15
Warehouse;Australia;Manager;1;0.4;0.55;2;161;3;0;1;0;low;M;48
Operations;France;Manager;1;0.4;0.55;4;202;3;0;0;0;medium;F;29
Sales;Turkey;Manager;1;0.4;0.55;4;255;2;0;0;0;low;F;41
Finance;US;Manager;1;0.4;0.55;4;208;4;0;0;0;medium;M;30
Human Resources;UK;Manager;0;0.4;0.55;4;231;3;0;0;0;low;F;28
IT;Korea;Manager;1;0.4;0.55;6;97;4;0;0;0;low;M;2
Warehouse;Colombia;Manager;0;0.4;0.55;5;206;3;0;0;0;medium;M;59
Operations;Korea;Manager;0;0.4;0.55;3;228;2;0;0;0;low;M;43
Sales;France;Manager;0;0.4;0.55;5;242;4;0;0;0;medium;F;58
Finance;Korea;Manager;1;0.4;0.55;5;266;2;0;0;0;medium;F;47
Human Resources;France;Manager;0;0.4;0.55;4;261;3;1;0;0;medium;F;56
IT;China;Manager;1;0.4;0.55;4;148;3;1;0;0;low;M;31
Warehouse;Australia;Manager;0;0.4;0.55;5;260;3;0;0;0;medium;M;17
Operations;China;Manager;1;0.4;0.55;4;260;2;1;0;0;low;M;18
Sales;US;Manager;1;0.4;0.55;5;261;5;0;0;0;medium;M;50
Finance;Colombia;Manager;1;0.4;0.55;3;176;3;0;0;0;low;F;24
Human Resources;Colombia;Manager;0;0.4;0.55;4;167;3;1;0;0;medium;M;34
IT;China;Manager;1;0.4;0.55;3;217;4;1;0;0;medium;F;56
Warehouse;UK;Manager;0;0.4;0.55;4;122;5;1;0;0;medium;F;37
Operations;Australia;Manager;0;0.4;0.55;5;242;2;0;0;0;medium;F;52
Sales;Turkey;Manager;0;0.4;0.55;2;212;3;0;0;0;medium;M;2
Finance;Japan;Level 2-4;0;0.4;0.55;5;208;5;0;0;0;low;M;36
Human Resources;Turkey;Level 2-4;0;0.4;0.55;4;179;4;0;0;0;low;F;45
IT;Australia;Level 2-4;1;0.4;0.55;4;171;4;0;0;0;medium;M;4
Warehouse;UK;Level 2-4;0;0.4;0.55;5;219;2;0;0;0;medium;F;45
Operations;US;Level 2-4;0;0.4;0.55;3;217;2;0;0;0;high;F;55
Sales;Colombia;Level 2-4;0;0.4;0.55;3;188;3;0;0;0;medium;M;65
Finance;Japan;Level 2-4;0;0.4;0.55;3;197;3;0;0;0;high;M;17
Human Resources;UK;Level 2-4;0;0.4;0.55;3;147;3;0;0;0;medium;M;49
IT;France;Level 2-4;1;0.4;0.55;5;224;3;0;0;0;medium;M;57
Warehouse;Australia;Level 2-4;1;0.4;0.55;6;226;6;0;0;0;medium;F;2
Operations;US;Level 2-4;0;0.4;0.55;4;235;2;0;0;0;medium;M;37
Sales;US;Level 2-4;1;0.4;0.55;3;175;2;0;0;0;medium;F;4
Finance;Colombia;Level 2-4;0;0.4;0.55;4;250;2;0;0;0;low;F;43
Human Resources;UK;Level 2-4;1;0.4;0.55;4;233;2;1;0;0;low;M;9
IT;Australia;Level 2-4;0;0.4;0.55;3;213;3;0;0;0;medium;M;25
Warehouse;UK;Level 2-4;0;0.4;0.55;4;215;4;0;0;0;high;M;8
Operations;Turkey;Level 2-4;0;0.4;0.55;5;261;3;1;0;0;medium;M;5
Sales;Japan;Level 2-4;0;0.4;0.55;3;137;3;1;0;0;low;M;62
Finance;Turkey;Level 2-4;1;0.4;0.55;4;159;3;0;0;0;low;F;5
Human Resources;Korea;Level 2-4;1;0.4;0.55;3;170;3;1;0;0;low;F;14
IT;Turkey;Level 2-4;0;0.4;0.55;3;188;2;0;0;0;medium;M;44
Warehouse;US;Level 2-4;1;0.4;0.55;3;137;3;0;0;0;medium;F;17
Operations;Turkey;Level 2-4;1;0.4;0.55;5;247;3;0;0;0;low;M;61
Sales;UK;Level 2-4;0;0.4;0.55;4;267;3;0;0;0;medium;M;11
Finance;France;Level 2-4;0;0.4;0.55;4;243;2;0;0;0;medium;F;60
Human Resources;Colombia;Level 2-4;1;0.4;0.55;4;153;3;0;0;0;medium;M;34
IT;US;Level 2-4;0;0.4;0.55;4;204;3;0;0;0;high;M;47
Warehouse;France;Level 2-4;0;0.4;0.55;3;160;3;0;0;0;low;M;62
Operations;Colombia;Level 2-4;0;0.4;0.55;5;194;4;0;0;0;medium;F;2
Sales;Turkey;Level 2-4;0;0.4;0.55;2;207;6;0;0;0;low;M;6
Finance;China;Level 2-4;0;0.4;0.55;4;256;4;0;0;0;medium;F;12
Human Resources;France;Level 2-4;0;0.4;0.55;2;173;3;0;0;0;medium;M;37
IT;France;Level 2-4;1;0.4;0.55;5;215;2;0;0;0;low;F;53
Warehouse;Korea;Level 2-4;0;0.4;0.55;3;242;3;0;0;0;medium;F;56
Operations;China;Level 2-4;1;0.4;0.55;2;184;2;0;0;0;low;F;51
Sales;Japan;Level 2-4;1;0.4;0.55;3;135;3;0;0;0;medium;M;62
Finance;China;Level 2-4;1;0.4;0.55;5;231;2;0;0;0;medium;M;44
Human Resources;France;Level 2-4;0;0.4;0.55;3;253;2;1;0;0;low;M;54
IT;Korea;Level 2-4;1;0.4;0.55;3;177;3;1;0;0;low;F;46
Warehouse;Korea;Level 2-4;1;0.4;0.55;2;172;2;0;0;0;medium;F;18
Operations;US;Level 2-4;0;0.4;0.55;3;269;2;0;0;0;low;F;21
Sales;Turkey;Level 2-4;1;0.4;0.55;5;222;2;0;0;0;low;F;63
Finance;US;Level 2-4;0;0.4;0.55;4;191;4;0;0;0;low;F;16
Human Resources;Japan;Level 2-4;1;0.4;0.55;3;144;2;0;0;0;low;F;28
IT;Japan;Level 2-4;0;0.4;0.55;4;196;2;0;0;0;medium;M;28
Warehouse;France;Level 2-4;1;0.4;0.55;5;193;3;0;0;0;low;F;5
Operations;Korea;Level 2-4;1;0.4;0.55;3;172;2;0;0;0;high;M;26
Sales;Colombia;Level 2-4;1;0.4;0.55;3;259;3;0;0;0;low;F;8
Finance;Colombia;Level 2-4;0;0.4;0.55;4;269;3;0;0;0;high;M;25
Human Resources;Australia;Level 2-4;0;0.4;0.55;5;148;4;0;0;0;medium;M;38
IT;France;Level 2-4;1;0.4;0.55;4;234;2;0;0;0;medium;M;46
Warehouse;Turkey;Level 2-4;0;0.4;0.55;5;185;2;0;0;0;low;F;47
Operations;Japan;Level 2-4;1;0.4;0.55;5;268;2;0;0;0;low;F;21
Sales;France;Level 2-4;0;0.4;0.55;2;156;2;0;0;0;medium;F;6
Finance;Korea;Level 2-4;0;0.4;0.55;4;227;3;0;0;0;medium;F;23
Human Resources;France;Level 2-4;0;0.4;0.55;3;162;3;0;0;0;low;F;8
IT;Korea;Level 2-4;0;0.4;0.55;3;151;3;0;0;0;medium;M;18
Warehouse;Korea;Level 2-4;1;0.4;0.55;3;225;3;0;0;0;medium;F;32
Operations;Colombia;Level 2-4;1;0.4;0.55;6;130;2;0;0;0;medium;M;25
Sales;Japan;Level 2-4;1;0.4;0.55;3;127;4;0;0;0;medium;M;28
Finance;US;Level 2-4;1;0.4;0.55;3;250;4;0;0;0;medium;F;16
Human Resources;Japan;Level 2-4;0;0.4;0.55;6;178;2;0;0;0;low;F;10
IT;UK;Level 2-4;1;0.4;0.55;4;202;3;0;0;0;low;M;36
Warehouse;Turkey;Level 1;0;0.4;0.55;4;214;3;1;0;0;medium;F;17
Operations;Colombia;Level 1;1;0.4;0.55;3;108;2;1;0;0;medium;M;6
Sales;Korea;Level 1;0;0.4;0.55;3;147;2;0;0;0;low;F;53
Finance;Colombia;Level 1;0;0.4;0.55;3;260;3;0;0;0;medium;F;12
Human Resources;Colombia;Level 1;1;0.4;0.55;4;234;4;0;0;0;medium;F;35
IT;France;Level 1;0;0.4;0.55;4;145;3;0;0;0;low;F;48
Warehouse;China;Level 1;1;0.4;0.55;3;206;2;0;0;0;low;F;54
Operations;France;Level 1;0;0.4;0.55;4;179;4;0;0;0;low;M;61
Sales;Korea;Level 1;0;0.4;0.55;4;149;2;0;0;0;medium;M;48
Finance;France;Level 1;0;0.4;0.55;3;253;6;0;0;0;medium;F;58
Human Resources;Japan;Level 1;1;0.4;0.55;4;208;5;0;0;0;high;F;44
IT;France;Level 1;1;0.4;0.55;3;257;2;0;0;0;low;F;30
Warehouse;Japan;Level 1;0;0.4;0.55;2;128;3;0;0;0;low;F;9
Operations;Japan;Level 1;0;0.4;0.55;5;182;3;0;0;0;medium;F;32
Sales;Australia;Level 1;1;0.4;0.55;4;144;5;1;0;0;high;M;60
Finance;Colombia;Level 1;0;0.4;0.55;4;267;3;0;0;0;low;F;2
Human Resources;Turkey;Level 1;0;0.4;0.55;6;231;4;0;0;0;low;M;21
IT;China;Level 1;1;0.4;0.55;4;283;4;0;0;0;low;F;55
Warehouse;China;Level 1;1;0.4;0.55;4;250;3;0;0;0;medium;M;34
Operations;US;Level 1;0;0.4;0.55;3;223;3;0;0;0;low;F;20
Sales;Turkey;Level 1;0;0.4;0.55;4;138;2;0;0;0;high;F;1
Finance;China;Level 1;1;0.4;0.55;3;182;3;1;0;0;medium;F;61
Human Resources;UK;Level 1;1;0.4;0.55;4;233;2;0;0;0;medium;M;45
IT;Colombia;Level 1;0;0.4;0.55;5;255;2;0;0;0;medium;F;45
Warehouse;Japan;Level 1;1;0.4;0.55;4;256;6;0;0;0;low;F;48
Operations;Korea;Level 1;1;0.4;0.55;5;217;4;0;0;0;low;M;39
Sales;China;Level 1;1;0.4;0.55;5;261;5;0;0;0;medium;M;47
Finance;Japan;Level 1;1;0.4;0.55;5;281;3;1;0;0;low;F;24
Human Resources;Japan;Level 1;0;0.4;0.55;3;260;2;0;0;0;low;F;25
IT;Korea;Level 1;0;0.4;0.55;4;205;4;0;0;0;low;M;54
Warehouse;Colombia;VP;0;0.4;0.55;4;145;3;0;0;0;medium;F;54
Operations;Colombia;Senior Director;1;0.4;0.55;5;182;3;0;0;0;low;M;50
Sales;Turkey;Senior Director;0;0.4;0.55;2;173;2;0;0;0;low;M;26
Finance;UK;Senior Director;0;0.4;0.55;5;211;2;0;0;0;low;F;48
Human Resources;Korea;Director;0;0.4;0.55;5;224;2;1;0;0;low;F;49
IT;Korea;Director;1;0.4;0.55;3;136;2;1;0;0;medium;M;64
Warehouse;Australia;Director;0;0.4;0.55;3;223;4;1;0;0;low;F;30
Operations;China;Director;1;0.4;0.55;4;167;5;0;0;0;medium;M;18
Sales;France;Director;1;0.4;0.55;2;234;2;0;0;0;low;F;10
Finance;Japan;Director;1;0.4;0.55;3;160;3;0;0;0;low;M;54
